--技能的相关文字,这里命名规范一下
--S1L1name其中s1表示是技能1,L1表示是等级1,Name表示是名字,Desc表示说明,其他...
Skill=
{
s0Name="Thử nghiệm",	s0Desc="Thử nghiệm",
s1Name="Man Lực Bình Kích",	s1Desc="<(c0xFF00FFFF)Cấp 7 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s2Name="Diệt Tuyệt Huy Khảm",	s2Desc="<(c0xFF00FFFF)Cấp 19 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s3Name="Bạo Liệt Thích Sát",	s3Desc="<(c0xFF00FFFF)Cấp 25 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s4Name="Đoạt Mệnh Huyền Nguyệt",	s4Desc="<(c0xFF00FFFF)Cấp 28 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s5Name="Xung Phong Kích Thoái",	s5Desc="<(c0xFF00FFFF)Cấp 30 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s6Name="Liệt Hỏa Cuồng Đao",	s6Desc="<(c0xFF00FFFF)Cấp 35 có thể học, sách kỹ năng có thể nhận khi tiêu diệt quái vật cấp 25-34 hoặc mua ở hiệu sách.><(c0xFF00FF00)Người dùng VIP Chí Tôn có thể kích hoạt kỹ năng miễn phí.>",
s7Name="Hỏa Đạn",	s7Desc="<(c0xFF00FFFF)Cấp 7 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s8Name="Năng Lượng Kích Thoái",	s8Desc="<(c0xFF00FFFF)Cấp 12 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s9Name="Thiên Lôi Xạ",	s9Desc="<(c0xFF00FFFF)Cấp 17 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
s10Name="Tâm Linh Truyền Động",	s10Desc="<(c0xFF00FFFF)Cấp 17 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.>",
